comment,cleaned_text,confidence
@USER  @USER බලන හැට්ට කරක් බලාගත්තානං කට පුක වහගෙන යන දිල්ලියක මකබෑවිලා පලකෝ.   තනේ එල්ලිලා නෙවේද කිරි බීවේ ඕකේ අමුතු විජ්ජාවක් පේන්ඩ? බුරුල්ලෙන්ද බීවේ?,බලන හැට්ට කරක් බලාගත්තානං කට පුක වහගෙන යන දිල්ලියක මකබෑවිලා පලකෝ. තනේ එල්ලිලා නෙවේද කිරි බීවේ ඕකේ අමුතු විජ්ජාවක් පේන්ඩ? බුරුල්ලෙන්ද බීවේ?,0.8994
@USER  @USER    හා උඹ දැන් චන්ඩියෙකුත් වෙලාදා. අනේ රිලවෝ ගෑනුන්ගේ හෙලුවෙන් ජනප්‍රිය වෙලා සල්ලි වලට වේස කමේ යන තෝත් ගණිකාවක් තමයි!,හා උඹ දැන් චන්ඩියෙකුත් වෙලාදා. අනේ රිලවෝ ගෑනුන්ගේ හෙලුවෙන් ජනප්‍රිය වෙලා සල්ලි වලට වේස කමේ යන තෝත් ගණිකාවක් තමයි!,0.8994
@USER උලමාගෙ ඇට තලන්න ඕන,උලමාගෙ ඇට තලන්න ඕන,0.8994
ඇයි අල්ලපු ගෙදර බැල්ලි බඩ වෙලාද? URL This Tweet is unavailable.,ඇයි අල්ලපු ගෙදර බැල්ලි බඩ වෙලාද? උර්ල් This Tweet ඉස unavailable.,0.8994
යකෝ අලි ගහනකොට ළමයි වදන අපට උන් ලොකුද නංගි..  #තණමල්විලකොල්ලෙක්,යකෝ අලි ගහනකොට ළමයි වදන අපට උන් ලොකුද නංගි.. #තණමල්විලකොල්ලෙක්,0.8994
@USER ක්‍රිකට් කාපු සුමතිට හෙන ගහපන් ඔකෙ ඇතුලේ ඉන්න ඔකාට කඩේ යන උන්ගේ ලමයිට පරම්පරාවලට පොතු කබර වසුරිය හැදිලා පාරේ බල්ලො බලලු වගේ මැරිලා පලයන්. තූ තොපිලා ඔක්කොම එකතුවෙලා අපි පොඩි කාලේ ඉදලා අදරේ කරපු ක්‍රිඩාව නැති කරලා දැම්මා. වෙස බල්ලො.,ක්‍රිකට් කාපු සුමතිට හෙන ගහපන් ඔකෙ ඇතුලේ ඉන්න ඔකාට කඩේ යන උන්ගේ ලමයිට පරම්පරාවලට පොතු කබර වසුරිය හැදිලා පාරේ බල්ලො බලලු වගේ මැරිලා පලයන්. තූ තොපිලා ඔක්කොම එකතුවෙලා අපි පොඩි කාලේ ඉදලා අදරේ කරපු ක්‍රිඩාව නැති කරලා දැම්මා. වෙස බල්ලො.,0.8994
පස්ස හැරිල උඹ මොකද ඔය ගල දිහාද බලන්නෙ  #TCLSLමඩ,පස්ස හැරිල උඹ මොකද ඔය ගල දිහාද බලන්නෙ #TCLSLමඩ,0.8989
ඇපල්  මහලොකු පළතුර මට නම් තෝ පේන්න බෑ  ආදම් ඒව තෝව කාලා  අපිව ඉපැද්දුවා ඉමක් නැති දුක් සසරෙ ගිල්ලුවා නිවුටනයගේ ඔලුවට පතබෑවෙලා  ඉගෙනීමත් එපා කරා  අනේ මං හිතුවේ ඉවරයි කියලා  ස්ටීව් ජොබාගේ ඔලුවට වැහිලා  ඇපල් ෆෝන් හදලා මාව කාලම දැම්මා මාව හිඟන්නෙක් කරා පණුවොම කාපිය තෝව!  Source FB,ඇපල් මහලොකු පළතුර මට නම් තෝ පේන්න බෑ ආදම් ඒව තෝව කාලා අපිව ඉපැද්දුවා ඉමක් නැති දුක් සසරෙ ගිල්ලුවා නිවුටනයගේ ඔලුවට පතබෑවෙලා ඉගෙනීමත් එපා කරා අනේ මං හිතුවේ ඉවරයි කියලා ස්ටීව් ජොබාගේ ඔලුවට වැහිලා ඇපල් ෆෝන් හදලා මාව කාලම දැම්මා මාව හිඟන්නෙක් කරා පණුවොම කාපිය තෝව! Source ෆ්බ්,0.8989
@USER  @USER වයි පයිය තමා ඉතිං ...,වයි පයිය තමා ඉතිං ...,0.8989
ලොකු line බලන්නයි chat කරන්න දෙකක් කරන්න බැ. එක්කෝ ලොකු line පැතකින් තියල chat කරහන් නාතන් chat නොකර ඉදහන් — feeling රෙද්ද,ලොකු line බලන්නයි chat කරන්න දෙකක් කරන්න බැ. එක්කෝ ලොකු line පැතකින් තියල chat කරහන් නාතන් chat නොකර ඉදහන් — feeling රෙද්ද,0.8989
@USER @USER  තෝ කවදා හරි දවසක එයිනේ ළමයෙකුත් වඩාගෙන? එදාට කපනවා ළකුණු බෝංචි කපනවා වගේ,තෝ කවදා හරි දවසක එයිනේ ළමයෙකුත් වඩාගෙන? එදාට කපනවා ළකුණු බෝංචි කපනවා වගේ,0.8989
"උයන්නම ඕනිද, ඇයි කඩවල් තියෙන්නේ කන්න ගෙදරට කෙල්ලෙක් ව මැරි කරලා ගේන්නෙ කුස්සි අම්ම කරන්න ද , කනව නම් කාපුවාදෙන් කියල අපිට පුලුවන් විදියට තමා උයන්නේ.. මම නම් උයන්නේම නෑ ඉස්සරත්, දැනුත්... උදේට අම්ම ගෙනත් දෙනවා වෑංජන . රයිස් කුකර් එකේ බත් එක ගහනව, දවල්ටයි රෑටයි p&s එකෙන්...","උයන්නම ඕනිද, ඇයි කඩවල් තියෙන්නේ කන්න ගෙදරට කෙල්ලෙක් ව මැරි කරලා ගේන්නෙ කුස්සි අම්ම කරන්න ද , කනව නම් කාපුවාදෙන් කියල අපිට පුලුවන් විදියට තමා උයන්නේ.. මම නම් උයන්නේම නෑ ඉස්සරත්, දැනුත්... උදේට අම්ම ගෙනත් දෙනවා වෑංජන . රයිස් කුකර් එකේ බත් එක ගහනව, දවල්ටයි රෑටයි පස් එකෙන්...",0.8989
"Twitter Family, Twitter Family කියලා ට්වීට් දාන්න එපා බං. පුකෙන් හිනා යන්නේ..  උඹ සතියක් පේන්න නැති වෙච්ච ගමන් උඹේ ඔය පැමිලි එකේ උන් උඹව හලනවා යකෝ. මෝඩ නොවී තමන්ගේ තැන හදාගනින්","Twitter Family, Twitter Family කියලා ට්වීට් දාන්න එපා බං. පුකෙන් හිනා යන්නේ.. උඹ සතියක් පේන්න නැති වෙච්ච ගමන් උඹේ ඔය පැමිලි එකේ උන් උඹව හලනවා යකෝ. මෝඩ නොවී තමන්ගේ තැන හදාගනින්",0.8989
"@USER උබලා වගේ රෙද්ද නැතුව පුක දුන්නාම රට යවපු නිසා unp/jvp එකට කඩේ කඩේ ගියාට නම් කඩේ යන්න පුකේ අමාරුවක් නෑ! උබලා වගේ හුජ්ජ කොල්ලෝ කඩේ යන හැටි දැකලා මාර ආතල්!   සල්ලි වලට පුකේ, ගෑනිගේ ඉදන් ආත්මෙටම විකුනන උබලා, රන්ජන්ලා වගේ මානසිකත්වේ නෙමේ ඉන්නේ!   #lka #srilanka #AneyHuke","උබලා වගේ රෙද්ද නැතුව පුක දුන්නාම රට යවපු නිසා උන්ප්ජ්ව්ප් එකට කඩේ කඩේ ගියාට නම් කඩේ යන්න පුකේ අමාරුවක් නෑ! උබලා වගේ හුජ්ජ කොල්ලෝ කඩේ යන හැටි දැකලා මාර ආතල්! සල්ලි වලට පුකේ, ගෑනිගේ ඉදන් ආත්මෙටම විකුනන උබලා, රන්ජන්ලා වගේ මානසිකත්වේ නෙමේ ඉන්නේ! ලක ශ්‍රීලංකා අනෙය්හුකේ",0.8989
මොකක්ද යකෝ රත්තට උනේ එක පාරම? රත්තා @USER  · 17 Apr 2020 Cake is ready babes,මොකක්ද යකෝ රත්තට උනේ එක පාරම? රත්තා · 17 අප‍ 2020 Cake ඉස ready බබෙස්,0.8989
@USER ඒ උඹ ආතල් බං. මම මේ ගුලියක් ගෙනාවා. දැන් ඒක පැත්තක දාලා උඹට tweet කරනවා. ගුලි වගේද උඹ,ඒ උඹ ආතල් බං. මම මේ ගුලියක් ගෙනාවා. දැන් ඒක පැත්තක දාලා උඹට tweet කරනවා. ගුලි වගේද උඹ,0.8989
"@USER උබලා වගේ රෙද්ද නැතුව පුක දුන්නාම රට යවපු නිසා unp/jvp එකට කඩේ කඩේ ගියාට නම් කඩේ යන්න පුකේ අමාරුවක් නෑ! උබලා වගේ හුජ්ජ කොල්ලෝ කඩේ යන හැටි දැකලා මාර ආතල්!   සල්ලි වලට පුකේ, ගෑනිගේ ඉදන් ආත්මෙටම විකුනන උබලා, රන්ජන්ලා වගේ මානසිකත්වේ නෙමේ ඉන්නේ!   සනාගේඑක leak කරේ උබ නේ?","උබලා වගේ රෙද්ද නැතුව පුක දුන්නාම රට යවපු නිසා උන්ප්ජ්ව්ප් එකට කඩේ කඩේ ගියාට නම් කඩේ යන්න පුකේ අමාරුවක් නෑ! උබලා වගේ හුජ්ජ කොල්ලෝ කඩේ යන හැටි දැකලා මාර ආතල්! සල්ලි වලට පුකේ, ගෑනිගේ ඉදන් ආත්මෙටම විකුනන උබලා, රන්ජන්ලා වගේ මානසිකත්වේ නෙමේ ඉන්නේ! සනාගේඑක leak කරේ උබ නේ?",0.8989
ඔන්න ඔය වේසිගෙ පුතාව byte කරපන්..පොන්න බල්ල ඕකව එක්කො රිපෝට් කරල දාන්න,ඔන්න ඔය වේසිගෙ පුතාව බ්ය්ටේ කරපන්..පොන්න බල්ල ඕකව එක්කො රිපෝට් කරල දාන්න,0.8989
කලිසම ඉරුනට හරියට ඒක පේන්නෑ අම්ම හොදට මහල දුන්න ඒකට බය නෑ. උඩ බොත්තමෙ ගහල තියෙන කටුව පේන්නෑ. සෙරෙප්පු දෙක හොදට ගෙවිල දැක්කොත් හරි නෑ #sajje,කලිසම ඉරුනට හරියට ඒක පේන්නෑ අම්ම හොදට මහල දුන්න ඒකට බය නෑ. උඩ බොත්තමෙ ගහල තියෙන කටුව පේන්නෑ. සෙරෙප්පු දෙක හොදට ගෙවිල දැක්කොත් හරි නෑ සාජ්ජේ,0.8989
@USER @USER  මම බොන්නේ නැති එකේ ලමයි බොයිද බොල කොත්තමල්ලි :-P,මම බොන්නේ නැති එකේ ලමයි බොයිද බොල කොත්තමල්ලි ප්,0.8989
"Safety first! 󾟳  󾟳   රෙද්ද තමයි! :) මේක දාගෙන ඇවිදින්න , අම්මට කියලා තව බත් පිඟානක්ම කවා ගන්න වෙනවා!... URL","Safety first! 󾟳 󾟳 රෙද්ද තමයි! :) මේක දාගෙන ඇවිදින්න , අම්මට කියලා තව බත් පිඟානක්ම කවා ගන්න වෙනවා!... උර්ල්",0.8989
එදා මෙහෙම වෙයි කියලා කියද්දී  අවජාතක UNP කාරයෝ අපිට හිනා වුණා  අද පොලියට වෙඩි තියද්දි  කපලා… URL,එදා මෙහෙම වෙයි කියලා කියද්දී අවජාතක උන්ප් කාරයෝ අපිට හිනා වුණා අද පොලියට වෙඩි තියද්දි කපලා… උර්ල්,0.8989
"ඉස්සරහින් ගියත් මීයෙක්ව අල්ලන්න පයින්නේ නැති පූසා, මේ කොහෙවත් ඉන්න පූසියෙක්ට ඌ වගේ දෙකක් විතර සයිස් පූසෙක් එක්ක බර පොරේ. මූව මරලත් මදිනේ යකෝ","ඉස්සරහින් ගියත් මීයෙක්ව අල්ලන්න පයින්නේ නැති පූසා, මේ කොහෙවත් ඉන්න පූසියෙක්ට ඌ වගේ දෙකක් විතර සයිස් පූසෙක් එක්ක බර පොරේ. මූව මරලත් මදිනේ යකෝ",0.8984
"ඉතින් ඔය වට්ටක්කා කැකිරි වැල්.. බිම දිගේ නැතිව ගස් දිගේ ගිහිල්ලායෑ ගෙඩි හැදෙන්නේ ..  ඉස්සිල්ලා කියාපිය තෝ වට්ටක්කා වැලක්ද කැකිරි වැලක්ද..? බොල ඊරියේ.. වට්ටක්කා කැකිරි වැල්වලට දහපදුරාවේ ගිහින් ගෙඩි හදන්න පුළුවන් වුනාට  ගෑණු අපිට එහෙම බෑ.. . .                     ""පතිබ්බතා""....","ඉතින් ඔය වට්ටක්කා කැකිරි වැල්.. බිම දිගේ නැතිව ගස් දිගේ ගිහිල්ලායෑ ගෙඩි හැදෙන්නේ .. ඉස්සිල්ලා කියාපිය තෝ වට්ටක්කා වැලක්ද කැකිරි වැලක්ද..? බොල ඊරියේ.. වට්ටක්කා කැකිරි වැල්වලට දහපදුරාවේ ගිහින් ගෙඩි හදන්න පුළුවන් වුනාට ගෑණු අපිට එහෙම බෑ.. . . ""පතිබ්බතා""....",0.8984
මේකාට දුකයිලු.මුස්ලිම් ජනතාව කලකිරිලලු.මෙහෙම ගියොත් ලොකු ප්‍රස්නයක් වෙයිලු.පොලිසිය බනිනවලු.හමුදාාව පයින් ගහනවලු.පල්ලියට බල්ලො අරන් යනවලු.                 ඈ පොන්න බල්ලො තොට අමතක උනාද කතෝලිකයන්ට පල්ලි නැතිකල වග.පල්ලි ලේ වලින් තෙත්කල වග..කි දෙනෙක් මැරැන වග..තොපෙ පල්ලිය විතරද පල්ලි,මේකාට දුකයිලු.මුස්ලිම් ජනතාව කලකිරිලලු.මෙහෙම ගියොත් ලොකු ප්‍රස්නයක් වෙයිලු.පොලිසිය බනිනවලු.හමුදාාව පයින් ගහනවලු.පල්ලියට බල්ලො අරන් යනවලු. ඈ පොන්න බල්ලො තොට අමතක උනාද කතෝලිකයන්ට පල්ලි නැතිකල වග.පල්ලි ලේ වලින් තෙත්කල වග..කි දෙනෙක් මැරැන වග..තොපෙ පල්ලිය විතරද පල්ලි,0.8984
"ආ කවුද දන්නැ හිලට දාලා වෙඩි තියන්න කිව්වෙ..දැන් සාලෙ මැද්දෙ තඩි හිලක්..! ZNAK™ @USER  · 5 Jan ""මේ ගෑනියේ උඹේ ඔය බලු කතාව නවත්තගනින්""","ආ කවුද දන්නැ හිලට දාලා වෙඩි තියන්න කිව්වෙ..දැන් සාලෙ මැද්දෙ තඩි හිලක්..! ළ්නක් · 5 ජන ""මේ ගෑනියේ උඹේ ඔය බලු කතාව නවත්තගනින්""",0.8984
"@USER @USER  @USER  හෙණ ගහල අකුලෝල පලයන්, මොන AIDS ද යකෝ කොහේ තියන Aids එකක් ද හු#^*%£පුතෝ","හෙණ ගහල අකුලෝල පලයන්, මොන ඓඩ්ස් ද යකෝ කොහේ තියන ඓඩ්ස් එකක් ද හු#^*%£පුතෝ",0.8984
වටේ පුක දිලා පුක ලොද කරගෙන හුතු සෙවල වටේ කැරකෙන අබ්බගාත ඇඹලයා දෙකට නැවිලා පක හපන් මැරියන් ඒක සැපයි බල්ලො ගහනවට වඩා කෝ ඇවිත් කොටපන් ගැම්මට,වටේ පුක දිලා පුක ලොද කරගෙන හුතු සෙවල වටේ කැරකෙන අබ්බගාත ඇඹලයා දෙකට නැවිලා පක හපන් මැරියන් ඒක සැපයි බල්ලො ගහනවට වඩා කෝ ඇවිත් කොටපන් ගැම්මට,0.8984
පුක කියලා දැම්මොත් පුක ඒක රී ටුවීට් කරනවා ඕන පුකක් පුක.....,පුක කියලා දැම්මොත් පුක ඒක රී ටුවීට් කරනවා ඕන පුකක් පුක.....,0.8984
ඇයි යකෝ අර සුනන්දයගෙ තාත්තට සරමෙ පිහදාගන්න බැරි උනේ? මාළු නටනව ඌ දාන එව්ව දැක්කම.,ඇයි යකෝ අර සුනන්දයගෙ තාත්තට සරමෙ පිහදාගන්න බැරි උනේ? මාළු නටනව ඌ දාන එව්ව දැක්කම.,0.8984
"@USER  @USER    මුට පුකේ  චූ කරලා සින්දුවක් ලියල පාඩුවෙ හිටපන්, අය්යේ  One more thing, රජ්ජුරුවන්ගෙ පස්ස හෝදන එකාට කියන සිංහල නම දන්නවද? එයට කියන්නෙ සට්ටන්රාල කියලා#එලඑලඑල","මුට පුකේ චූ කරලා සින්දුවක් ලියල පාඩුවෙ හිටපන්, අය්යේ One more thing, රජ්ජුරුවන්ගෙ පස්ස හෝදන එකාට කියන සිංහල නම දන්නවද? එයට කියන්නෙ සට්ටන්රාල කියලා#එලඑලඑල",0.8984
අපි ගෘප් එකේ පුක කියන උංගේ පුක කමු,අපි ගෘප් එකේ පුක කියන උංගේ පුක කමු,0.8984
@USER ඇත්ත නංගි.කාව උනත් විශ්වාසයි කියල හිතල පොඩි ලමයි තනියම තියල යන්න හොද නෑ.තමංගෙ අම්ම හැරෙන්න.,ඇත්ත නංගි.කාව උනත් විශ්වාසයි කියල හිතල පොඩි ලමයි තනියම තියල යන්න හොද නෑ.තමංගෙ අම්ම හැරෙන්න.,0.8984
"@USER මේක ගෑණු පිරිමි ප්‍රශ්ණයක් නොවෙයී, බලය හැසිරවීම නොදන්නා කම පිලිබඳ ප්‍රශ්ණයක්. පොඩිකාලේදී, පුක හෝදන්න කියලා දෙනවා සේ, බලය නිසි ලෙස හැසිරවන හැටිත් ලමයීට කියලා දෙන්න ඕනේ.","මේක ගෑණු පිරිමි ප්‍රශ්ණයක් නොවෙයී, බලය හැසිරවීම නොදන්නා කම පිලිබඳ ප්‍රශ්ණයක්. පොඩිකාලේදී, පුක හෝදන්න කියලා දෙනවා සේ, බලය නිසි ලෙස හැසිරවන හැටිත් ලමයීට කියලා දෙන්න ඕනේ.",0.8984
"පක = ගෙඩිය,ඵලය වේලිච්ච වට්ටක්කා ගෙඩිය වගේ  = වේලිච්ච වට්ටක්කා පක වගේ  #පකයා ගිය දුර කිව්වලු...    #lka facebook.com Lokaya saha Lokayo on Facebook Watch තවත් මේ වගේ දේවල් බලන්න එන්න >> ╔═.. ═════════════════════════╗ _fb.com/lokayasahalokayo | ලෝකය සහ ලෝකයෝ_ ╚══════.. ════════════════════╝","පක = ගෙඩිය,ඵලය වේලිච්ච වට්ටක්කා ගෙඩිය වගේ = වේලිච්ච වට්ටක්කා පක වගේ #පකයා ගිය දුර කිව්වලු... ලක ඵචෙබූක්චොම් ලෝකය සහ ලෝකයෝ ඕන ඵචෙබූක් Watch තවත් මේ වගේ දේවල් බලන්න එන්න >> ╔═.. ═════════════════════════╗ _fb.com/lokayasahalokayo | ලෝකය සහ ලෝකයෝ_ ╚══════.. ════════════════════╝",0.8984
@USER  @USER හරියටම හරි. පොන්න දසයෝ අඳුනාගන්නේ එහෙම තමයි,හරියටම හරි. පොන්න දසයෝ අඳුනාගන්නේ එහෙම තමයි,0.8979
@USER  @USER ගෙරි තම්බියා තම්බියාමයි...ඒ උන්ට උදව් කරන අවජාතක කලුසුද්දො ඉන්නවා ජීවත සල්ලි කියල හිතන....උන්ට පුලුවන් උන්ගෙ ගෑණු ලමයිත් මුදල් කරන්න....මේ රටට උන් මහ පිලිලයක්...ඔවුන් වදවෙලා යන්න ඕන,ගෙරි තම්බියා තම්බියාමයි...ඒ උන්ට උදව් කරන අවජාතක කලුසුද්දො ඉන්නවා ජීවත සල්ලි කියල හිතන....උන්ට පුලුවන් උන්ගෙ ගෑණු ලමයිත් මුදල් කරන්න....මේ රටට උන් මහ පිලිලයක්...ඔවුන් වදවෙලා යන්න ඕන,0.8979
උඹටත් හිටියද   එක්කෙනෙක් මදිවෙලා තව අය හොයාගෙන වටේගිය   වේස කුලප්පුව හැදුන තාවකාලික හෝන්තුවක් !!!,උඹටත් හිටියද එක්කෙනෙක් මදිවෙලා තව අය හොයාගෙන වටේගිය වේස කුලප්පුව හැදුන තාවකාලික හෝන්තුවක් !!!,0.8979
"@USER @USER  ඈ බං, මොකෙක් හරි විහිලුවක්  කරාම තොට බඩ යනවද? හැම මගුලකටම ""අම්මේ බඩ"" ගාන්නේ? බීපං අසමෝධගම් වීදුරුවක්.","ඈ බං, මොකෙක් හරි විහිලුවක් කරාම තොට බඩ යනවද? හැම මගුලකටම ""අම්මේ බඩ"" ගාන්නේ? බීපං අසමෝධගම් වීදුරුවක්.",0.8979
@USER අලි ගල් පුරවරේටම ආඩම්බරයක් එකෙක් ගල විදගත්ත එකෙක් අනෙකා ගල් කපන් එකෙක්,අලි ගල් පුරවරේටම ආඩම්බරයක් එකෙක් ගල විදගත්ත එකෙක් අනෙකා ගල් කපන් එකෙක්,0.8979
තෝ කොහෙද ඉන්නේ? තෝව කොන්ටක්ට් කරගන්න බෑනේ. ලබන මාසේ ගමනක් යන්න හඩන්නේ,තෝ කොහෙද ඉන්නේ? තෝව කොන්ටක්ට් කරගන්න බෑනේ. ලබන මාසේ ගමනක් යන්න හඩන්නේ,0.8979
එකෙක් fb එකේ කියනවා ආරිය සිංහල නම් ලමයි 5 ක් හදනවා කියලා පොරොන්දු වෙන්නලු .. යකෝ ඇද පුටු මේස එක්කද ලමයි හදන්නේ ??,එකෙක් ෆ්බ් එකේ කියනවා ආරිය සිංහල නම් ලමයි 5 ක් හදනවා කියලා පොරොන්දු වෙන්නලු .. යකෝ ඇද පුටු මේස එක්කද ලමයි හදන්නේ ??,0.8979
විස්ව සාලුකට දීලා ආයේ කට පුක වෙන්න  හම්මෝ,විස්ව සාලුකට දීලා ආයේ කට පුක වෙන්න හම්මෝ,0.8979
@USER  @USER ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,ඉතින් ඇයි බං ඕක ඒවෙලේ කිව්වෙ නැත්තෙ. ගෝඨා නැතුව වෙන එකෙක් ඡන්දෙ ඉල්ලුවනං අද ගෝඨගෙ නම වෙනුවට ඔතෙන්ට දාන්නෙ ඒ මනුස්සයගෙ නමනේ. දේශපාලන වහල් පොන්න වේස කැරි හුකන කතා කියන්නෙපා හුත්තිගෙ කොල්ලෝ හුකන්න බෝම්බ ගහපු වෙලේ එක පකයෙක් හා හූ නෑ අන්තිමට ඡන්දයක් ළංවුණාම ජංගිය අස්සෙ තියෙන ඇට 1/2,0.8979
