comment,label,cleaned_text
"අක්කේ ඔයාගේ ළමයින් පස් දෙනාගේ තාත්තා එක්කෙනාමද ? , ඔයා හරි අවලස්සනයි..... ඒත් අවුරුදු 18ක පෙනුමක් තියෙන්නෙ. ඔයා ගාල කඩා නොගත් එලදෙනක් වගේ ඔයාගේ කෑම කඩේ වැදගත් විදිහට හැසිරෙනවා මුලු ලංකාවම දැක්කා. ඔයා සිංහල පාවිච්චි කරන්න එපා. ඔයාට allergy වෙන්න පුලුවන් . ඔයා හැර සියලු ලෝක වාසීන්ට අපි නීරෝගී සුවය පතනවා.",harassment,"අක්කේ ඔයාගේ ළමයින් පස් දෙනාගේ තාත්තා එක්කෙනාමද ? , ඔයා හරි අවලස්සනයි..... ඒත් අවුරුදු 18ක පෙනුමක් තියෙන්නෙ. ඔයා ගාල කඩා නොගත් එලදෙනක් වගේ ඔයාගේ කෑම කඩේ වැදගත් විදිහට හැසිරෙනවා මුලු ලංකාවම දැක්කා. ඔයා සිංහල පාවිච්චි කරන්න එපා. ඔයාට allergy වෙන්න පුලුවන් . ඔයා හැර සියලු ලෝක වාසීන්ට අපි නීරෝගී සුවය පතනවා."
අක්කේ ඔයාට වැටකොළු පතෝල එපාද,harassment,අක්කේ ඔයාට වැටකොළු පතෝල එපාද
අක්කේ... අක්කේ මේ මට පොඩි උදව්වක් කරන්නකො........ උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහව පොඩ්ඩක් ලංකාවට එවපන්කෝ........ මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේකුට හුකන්නේ නැතුව ඒ දාර පොන්නයට පුකේ අරින්න....... හාද කියපන්කෝ .......,harassment,අක්කේ... අක්කේ මේ මට පොඩි උදව්වක් කරන්නකො........ උබට හුකපු හුකලා ලමයි පහක් හදපු උබේ පොන්න මිනිහව පොඩ්ඩක් ලංකාවට එවපන්කෝ........ මට හරී ආසයි උබ වගේ වටේ ගිය වේසියේකුට හුකන්නේ නැතුව ඒ දාර පොන්නයට පුකේ අරින්න....... හාද කියපන්කෝ .......
අචිචිගේ රෙද්ද සංවෙිදි උබගේ සක්කිලි කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලවනවා අයේ ඉතාලියට,harassment,අචිචිගේ රෙද්ද සංවෙිදි උබගේ සක්කිලි කම දැන් ටික ටික එලියට එනවා තෝ එන්න එපා මෙි ලංකාව තෝ ගහලා එලවනවා අයේ ඉතාලියට
අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහන්නේ පට්ට බඩු ගහන්නැ කිව්වා තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිතයක් තො වගේ වෙසකන් කරන්නැ වේසියේ,harassment,අජිත් රෝහෝහණ පුකේ ඇරිය නැති එකටද තො වේසි කැ ගහන්නේ පට්ට බඩු ගහන්නැ කිව්වා තොට ලෙඩ නේද පට්ට වේසි යකෝ අජිත් රෝහණ නියම පොරක් සුපිරි චරිතයක් තො වගේ වෙසකන් කරන්නැ වේසියේ
අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනාගෙ තාත්තාලා වත් කවුද කියල..,harassment,අඩුම ගානේ ඕකිට හරියට මතක නැතුව ඇති දරුවෝ පස් දෙනාගෙ තාත්තාලා වත් කවුද කියල..
අඩෙ නනා හරිම සරලයිනිබන් වෙලදාමට අපු උබලා මෙකෙ වැලලෙනිනැතුව අරබියටගියා වලලන්න බරිනමි වෙලලා හරිතියාගතිතා උබලාගේ කලයත්ඉතුරැයි සල්ලිත් ඉතුරැයි 72කටම හුකන්න ජුන්ඩත් ඉතුරැයි මෙක අපේ රට අපිට නියට ඉන්නබැරිනමි No way shut down නනා ,harassment,අඩෙ නනා හරිම සරලයිනිබන් වෙලදාමට අපු උබලා මෙකෙ වැලලෙනිනැතුව අරබියටගියා වලලන්න බරිනමි වෙලලා හරිතියාගතිතා උබලාගේ කලයත්ඉතුරැයි සල්ලිත් ඉතුරැයි 72කටම හුකන්න ජුන්ඩත් ඉතුරැයි මෙක අපේ රට අපිට නියට ඉන්නබැරිනමි නො way shut down නනා
අඩෝ උඹ වෛද්‍යවරයෙක් නෙවෙයිනෙ කට වහගෙන පුක දෙන ද පාඩු හිටපං හරි තම්බියා,harassment,අඩෝ උඹ වෛද්‍යවරයෙක් නෙවෙයිනෙ කට වහගෙන පුක දෙන ද පාඩු හිටපං හරි තම්බියා
අඩෝ බැල්ලි තෝ ලංකාවට එන්න ඕනි නෑ තෝ ඔහෙට වෙලා මුලු ඉතාලියටම පුක දීපන් උබේ මිනිහා පොන්නයෙක්ද කොහේදා තෝ ලංකාවට අගවුරව කරන්න එපා පර බැල්ලී කනව තොගේ ංත්ත,harassment,අඩෝ බැල්ලි තෝ ලංකාවට එන්න ඕනි නෑ තෝ ඔහෙට වෙලා මුලු ඉතාලියටම පුක දීපන් උබේ මිනිහා පොන්නයෙක්ද කොහේදා තෝ ලංකාවට අගවුරව කරන්න එපා පර බැල්ලී කනව තොගේ ංත්ත
අතල් එකට ගහාලා කරුමෙට හෙදිච්ච එකෙක් ,harassment,අතල් එකට ගහාලා කරුමෙට හෙදිච්ච එකෙක්
අද කිව්වා කියලා මතක තියා ගනිල්ලා මූ තමා ඊළග සහරාන්,harassment,අද කිව්වා කියලා මතක තියා ගනිල්ලා මූ තමා ඊළග සහරාන්
අනිවා ⁣මෙිකි වැසිකිළියක ජාතක වෙලා තියෙන්නෙ.,harassment,අනිවා ⁣මෙිකි වැසිකිළියක ජාතක වෙලා තියෙන්නෙ.
අනිවාර්යයෙන් වැල්ලේ හිටපු එකියක්,harassment,අනිවාර්යයෙන් වැල්ලේ හිටපු එකියක්
අනිවාර්යයෙන්ම බඩු පොට් එකක ඉන්න එකියක් ..කොරොනා හන්දා මිනිස්සු enne ne ඒ හන්දා මොල තද වෙලා,harassment,අනිවාර්යයෙන්ම බඩු පොට් එකක ඉන්න එකියක් ..කොරොනා හන්දා මිනිස්සු එන්නේ නේ ඒ හන්දා මොල තද වෙලා
අනිවාර්යෙන් තෝ ඵන්නත් ඵපා බලු වේසි...,harassment,අනිවාර්යෙන් තෝ ඵන්නත් ඵපා බලු වේසි...
අනෙ අම්මට හුකහ පට්ට වෙසි,harassment,අනෙ අම්මට හුකහ පට්ට වෙසි
අනෙ අම්මො තො වගෙ වෙස අවලන් බැල්ලියො කොහොමත් මගෙ උතුම් ලන්කා දෙඑරනෙ කොහොමත් වලලන්නෙ නැ වෙස හු.... තො කරයන්ට කියල හු.... ගෙන වලලියන් ඔහෙම එන්න එප මෙහෙ කනව තොව පුචගෙන බලු වෙසි,harassment,අනෙ අම්මො තො වගෙ වෙස අවලන් බැල්ලියො කොහොමත් මගෙ උතුම් ලන්කා දෙඑරනෙ කොහොමත් වලලන්නෙ නැ වෙස හු.... තො කරයන්ට කියල හු.... ගෙන වලලියන් ඔහෙම එන්න එප මෙහෙ කනව තොව පුචගෙන බලු වෙසි
අනෙ උබෙ අමිමට හුකහන් හුත්තියෙ,harassment,අනෙ උබෙ අමිමට හුකහන් හුත්තියෙ
අනෙ තොගෙ අම්මට හුකාපිය.,harassment,අනෙ තොගෙ අම්මට හුකාපිය.
අනෙ පකො අම්මා ට හුකහන් මට්ටයා,harassment,අනෙ පකො අම්මා ට හුකහන් මට්ටයා
අනෙ පටිට බැල්ලියෙ සොමියට හුකාගෙන කරුමෙට ළමයි හදාා ගත්තට අපෙ ජාතිය පලි නැ බැල්ලියෙ තො බලපන් උබටත් කොරොනා හැදුන දාාට කොරයි බොට.තොපි ලංකාවෙ හැදුනෙ පැලේ නෑවෙ ඇලෙ නෙද පටිට බැල්ලියෙ.මුඩුක්කු වල හැමනිලා රට පැනපු ගොන් බඩුවක් කියලා පේනවා යකෝ හොදට.එන්න එපා අපේ ජාතියට ගරහන්න දේශද්‍රෝහි පටිට වෙිසියේ.,harassment,අනෙ පටිට බැල්ලියෙ සොමියට හුකාගෙන කරුමෙට ළමයි හදාා ගත්තට අපෙ ජාතිය පලි නැ බැල්ලියෙ තො බලපන් උබටත් කොරොනා හැදුන දාාට කොරයි බොට.තොපි ලංකාවෙ හැදුනෙ පැලේ නෑවෙ ඇලෙ නෙද පටිට බැල්ලියෙ.මුඩුක්කු වල හැමනිලා රට පැනපු ගොන් බඩුවක් කියලා පේනවා යකෝ හොදට.එන්න එපා අපේ ජාතියට ගරහන්න දේශද්‍රෝහි පටිට වෙිසියේ.
අනෙ පට්ට වේසි පදුරු ගානෙ හැමනිලා ත් අල්ලලා ලොකු එක දෙනවා...ලොකුද දන්නෙ නැහැ ..,harassment,අනෙ පට්ට වේසි පදුරු ගානෙ හැමනිලා ත් අල්ලලා ලොකු එක දෙනවා...ලොකුද දන්නෙ නැහැ ..
අනෙ බාල්ලි තො කටද කතා කරන්නෙ කට දාක්කාම වමනෙ යනවා.ගෝන් ගානි,harassment,අනෙ බාල්ලි තො කටද කතා කරන්නෙ කට දාක්කාම වමනෙ යනවා.ගෝන් ගානි
අනෙ බොගෙ අම්මට හැමිනියන්,harassment,අනෙ බොගෙ අම්මට හැමිනියන්
අනෙ ලොකු දෙයක් වෙසා ගෑනු එන්න ඔනම නෑ.අලකොලෙන් කාල පුක පිහිදපු උන් දැන් මුන් රටවල් වලට ගිහි ලොකු වෙලා.හිල් වෙන්න ඇති මෙච්චර කාලයක් ලොකු කරගන්න ඇත්තෙ.තොපි වගෙ උන් මේ රටෙන් දායාද උන එකටයි අපිට දුක.ටිශු වලින් පුකවල් පිහිදගෙම් මුන්ට දැන් අමුතු ගොන් පොශ් එකක් ඇවිත් අපො දැක්කා ගොඩක් රටවල් වලින් ආපු ගොන් පොශ්ලා මෙකෙ රැගුව හැටි අපි අපෙ දේ බලා ගන්නම් ඔයා එන්නම ඔන මෑ.වැඩක් නෑ අනේ ඔයා ආවට අවොත් ත්වත් ගෝලිය වසන්ගතයක් ඔවා ඇයො ඔහොම ඔවා.කැතයි ගොන් පොශ් නැව් ටික දැක්කාම මොකද්දෝ හිතෙනව අපිට.ාඇයි ඔවාල ඔහොම,harassment,අනෙ ලොකු දෙයක් වෙසා ගෑනු එන්න ඔනම නෑ.අලකොලෙන් කාල පුක පිහිදපු උන් දැන් මුන් රටවල් වලට ගිහි ලොකු වෙලා.හිල් වෙන්න ඇති මෙච්චර කාලයක් ලොකු කරගන්න ඇත්තෙ.තොපි වගෙ උන් මේ රටෙන් දායාද උන එකටයි අපිට දුක.ටිශු වලින් පුකවල් පිහිදගෙම් මුන්ට දැන් අමුතු ගොන් පොශ් එකක් ඇවිත් අපො දැක්කා ගොඩක් රටවල් වලින් ආපු ගොන් පොශ්ලා මෙකෙ රැගුව හැටි අපි අපෙ දේ බලා ගන්නම් ඔයා එන්නම ඔන මෑ.වැඩක් නෑ අනේ ඔයා ආවට අවොත් ත්වත් ගෝලිය වසන්ගතයක් ඔවා ඇයො ඔහොම ඔවා.කැතයි ගොන් පොශ් නැව් ටික දැක්කාම මොකද්දෝ හිතෙනව අපිට.ාඇයි ඔවාල ඔහොම
අනෙ ⁣වෙිසියේ තො ආවොත් ඉන්ඩනමි හමිබෙින්නැ...තෝව පෙති ගහලා හන්දියක් ගානේ එල්ලන්න ඔින.තෝ මැරැනාම මෙි මිනි ගේන්න ඔිනත් නැ .අරාබි කාරයන්ට පුකදීගන ඉන්න කැරි වෙීසි.තමන්ගෙ රටට කියන කතා...තොනේ සක්කිලි පටිට හුත්ති..තොට මෝල් ගහක් අරින්න ඔිනේ කටින් මතුවෙන්න.තු විතරක් පල්කඩ වෙිසි,harassment,අනෙ ⁣වෙිසියේ තො ආවොත් ඉන්ඩනමි හමිබෙින්නැ...තෝව පෙති ගහලා හන්දියක් ගානේ එල්ලන්න ඔින.තෝ මැරැනාම මෙි මිනි ගේන්න ඔිනත් නැ .අරාබි කාරයන්ට පුකදීගන ඉන්න කැරි වෙීසි.තමන්ගෙ රටට කියන කතා...තොනේ සක්කිලි පටිට හුත්ති..තොට මෝල් ගහක් අරින්න ඔිනේ කටින් මතුවෙන්න.තු විතරක් පල්කඩ වෙිසි
අනෙ හුතියේ තෙ මට අහුවුනනමි තෙ හෙළුවෙින් යවන්නෙ රට වටෙි,harassment,අනෙ හුතියේ තෙ මට අහුවුනනමි තෙ හෙළුවෙින් යවන්නෙ රට වටෙි
අනෙ හුත්ති තෙගෙ අම්මටත් තොටත් හොදට හුකනවද,harassment,අනෙ හුත්ති තෙගෙ අම්මටත් තොටත් හොදට හුකනවද
අනෙ හොදට හුකාගනින් වේසි එන්නැත්තන් පකද කියන්නේ වේසියො තොපි ඇවිත් කොටුවේ දෙන්න තමා වෙන්නෙ,harassment,අනෙ හොදට හුකාගනින් වේසි එන්නැත්තන් පකද කියන්නේ වේසියො තොපි ඇවිත් කොටුවේ දෙන්න තමා වෙන්නෙ
අනෙ.පට්ටකැරිවෙසියෙ.එකද.සතුන්වගෙ.මැරෙන්නෙ.උබනම්.එන්නඑපා.ලන්කාවට.පුකෙ.එරල.මරන්නෙ.වෙසි,harassment,අනෙ.පට්ටකැරිවෙසියෙ.එකද.සතුන්වගෙ.මැරෙන්නෙ.උබනම්.එන්නඑපා.ලන්කාවට.පුකෙ.එරල.මරන්නෙ.වෙසි
අනේ අක්කෙ මීලගට අපි ගොඩක් සංතෝස වෙන්නෙ උබ මැරිනා කියන ආරන්චියට,harassment,අනේ අක්කෙ මීලගට අපි ගොඩක් සංතෝස වෙන්නෙ උබ මැරිනා කියන ආරන්චියට
අනේ අම්මට හුකාපන් පට්ට හුත්ති,harassment,අනේ අම්මට හුකාපන් පට්ට හුත්ති
අනේ අම්මාට උකන්න පට්ට්ට හුත්තී තෝ වගේ පට්ට එක කිසි බඩු නිසා මම ආ මේ ලංකාවට හොඳක් වෙන්න ඇත්තේ තොපි වගේ පර හැත්ත මේ ලංකාවේ හිටියොත් කවදාවත් හරි යන්නේ නෑ තොපි වගේ පට්ට වේසියෝ ඔය වගේ හුත්තිගෙ පුතාලා ඉන්න රටක වෙලා ඉඳපන් ලංකාවට ආවොත් තොපි වගේ වේසියෝ තොටයි තොගේ අම්ම ටයි අම්මට හුකනවපට්ට බැල්ලි උපන් භූමියට ආ ගෞරව කරන අම්මට හ*** පට්ට්ට හුත්තී තොපි වගේ හ*** බැල්ලියෝ මේ රටෙන් ඈත් උන එක මට පමණක් නොව මේ ලංකාවේ පුද්ගලයන් එම හොඳ දෙයක් කරේ තොපි වගේ හුත්තිගෙ හුත්තිගේ දුවලට හුකල මරන්න ඕනේ අම්මට හැමනෙන්න බැරි පොන්න බැල්ලි ඔය කියන කතාව ට තොගේ කටට පනුවෝ ගහල මැරෙන්ට ඕන අම්මට හුකන්ඩ කැර හුත්තී මට මේකට මාර කේන්ති පට්ට හුත්තී තොට නං හොඳක් සිද්ධ වෙන්ට එපා මගේ රටට බහින එක ගැන මම හිටිය නං තොට පුකෙ කෑරලා මරන්නේ මම නං කියන්නෙ තොපිට හොඳක් සිද්ධ වෙන්න එප පට්ට්ට හුත්තී අවජාතක හැත්ත ..........................................,harassment,අනේ අම්මාට උකන්න පට්ට්ට හුත්තී තෝ වගේ පට්ට එක කිසි බඩු නිසා මම ආ මේ ලංකාවට හොඳක් වෙන්න ඇත්තේ තොපි වගේ පර හැත්ත මේ ලංකාවේ හිටියොත් කවදාවත් හරි යන්නේ නෑ තොපි වගේ පට්ට වේසියෝ ඔය වගේ හුත්තිගෙ පුතාලා ඉන්න රටක වෙලා ඉඳපන් ලංකාවට ආවොත් තොපි වගේ වේසියෝ තොටයි තොගේ අම්ම ටයි අම්මට හුකනවපට්ට බැල්ලි උපන් භූමියට ආ ගෞරව කරන අම්මට හ*** පට්ට්ට හුත්තී තොපි වගේ හ*** බැල්ලියෝ මේ රටෙන් ඈත් උන එක මට පමණක් නොව මේ ලංකාවේ පුද්ගලයන් එම හොඳ දෙයක් කරේ තොපි වගේ හුත්තිගෙ හුත්තිගේ දුවලට හුකල මරන්න ඕනේ අම්මට හැමනෙන්න බැරි පොන්න බැල්ලි ඔය කියන කතාව ට තොගේ කටට පනුවෝ ගහල මැරෙන්ට ඕන අම්මට හුකන්ඩ කැර හුත්තී මට මේකට මාර කේන්ති පට්ට හුත්තී තොට නං හොඳක් සිද්ධ වෙන්ට එපා මගේ රටට බහින එක ගැන මම හිටිය නං තොට පුකෙ කෑරලා මරන්නේ මම නං කියන්නෙ තොපිට හොඳක් සිද්ධ වෙන්න එප පට්ට්ට හුත්තී අවජාතක හැත්ත ..........................................
අනේ අම්මෝ මෙහෙම කටක් තෝ ම මැරුණත් අපේ පොලොවට නම් එපා අනිවා වේසාවියක් මේ ගෑනී ඒක නම් ශුවර් එයාට අවුරුදු 25ක පෙනුමලු අම්මෝ කොහොමද ඒක,harassment,අනේ අම්මෝ මෙහෙම කටක් තෝ ම මැරුණත් අපේ පොලොවට නම් එපා අනිවා වේසාවියක් මේ ගෑනී ඒක නම් ශුවර් එයාට අවුරුදු 25ක පෙනුමලු අම්මෝ කොහොමද ඒක
අනේ අවජාතක බල්ලෝ ලෝකයේම තත්වෙ තේරුම් ගනින් කාලකණ්ණි බල්ලෝ .....තොපේ පාලනය තිබුනනම් බලාගන්න තිබුනා කොරෝනා හැදිලා මිනිස්සු මැරෙන හැටි....පාස්කු ප්‍රරහාරය වලක්වගන්න බැරිඋන කාලකණ්ණි තොපි .....කොරෝනා හැදිලා මිනිස්සු පාරක් පාරක් ගානේ මැරෙන තැනට රට වැටෙනකන් බලන් ඉන්නේ දේශපාලන වාසිගන්න ගූ කාපන් කාලකණ්ණි බල්ලෝ ..ව්‍යාපාරය කරන්නත් යකෝ මිනිස්සු ජීවත් වෙන්න ඕන.තොපිට ඕන රටේ ජනතාවගේ මිනී උඩින් හරි ගිහින් දේශපාලන වාසිගන්න බලන් ඉන්න හිගන හැත්ත නොදකින් අවජාතක බල්ලා....!,harassment,අනේ අවජාතක බල්ලෝ ලෝකයේම තත්වෙ තේරුම් ගනින් කාලකණ්ණි බල්ලෝ .....තොපේ පාලනය තිබුනනම් බලාගන්න තිබුනා කොරෝනා හැදිලා මිනිස්සු මැරෙන හැටි....පාස්කු ප්‍රරහාරය වලක්වගන්න බැරිඋන කාලකණ්ණි තොපි .....කොරෝනා හැදිලා මිනිස්සු පාරක් පාරක් ගානේ මැරෙන තැනට රට වැටෙනකන් බලන් ඉන්නේ දේශපාලන වාසිගන්න ගූ කාපන් කාලකණ්ණි බල්ලෝ ..ව්‍යාපාරය කරන්නත් යකෝ මිනිස්සු ජීවත් වෙන්න ඕන.තොපිට ඕන රටේ ජනතාවගේ මිනී උඩින් හරි ගිහින් දේශපාලන වාසිගන්න බලන් ඉන්න හිගන හැත්ත නොදකින් අවජාතක බල්ලා....!
අනේ ඇන්ටි ඔහේව දැක්කම කියන්න පුලුවන් ඕයි තමුසෙලාගෙ හැටි බලපියකො තොගෙ වේස ගතිය,harassment,අනේ ඇන්ටි ඔහේව දැක්කම කියන්න පුලුවන් ඕයි තමුසෙලාගෙ හැටි බලපියකො තොගෙ වේස ගතිය
අනේ ඉතලියේ ඉන්න එඋන්ට කියල හුකා ගනින් ගොන් වේසි ,harassment,අනේ ඉතලියේ ඉන්න එඋන්ට කියල හුකා ගනින් ගොන් වේසි
අනේ උන්ට කියලා අරව ගනින්,harassment,අනේ උන්ට කියලා අරව ගනින්
අනේ උන්දේ උඔලට ඔච්චර කෙලවිලත් කටේ උජාරුව අපි තිස් අවුරුද්දක් තිබුනු යුද්දෙත් නැති කල ත්‍රිවිධ හමුදාවක් හිමි ජාතියක් උඔ වගේ සක්කිලි බඩු ලංකාවේ නෑ ඔය කයිය ගහන්නේ ගව් ගානක් දුරු ඉදලනේ ලග හිටිය නං බිමදාලා පාගනවා කට .,harassment,අනේ උන්දේ උඔලට ඔච්චර කෙලවිලත් කටේ උජාරුව අපි තිස් අවුරුද්දක් තිබුනු යුද්දෙත් නැති කල ත්‍රිවිධ හමුදාවක් හිමි ජාතියක් උඔ වගේ සක්කිලි බඩු ලංකාවේ නෑ ඔය කයිය ගහන්නේ ගව් ගානක් දුරු ඉදලනේ ලග හිටිය නං බිමදාලා පාගනවා කට .
thoge thattata hukapn hutti,harassment,තොගේ තට්ටට හුකපං හුට්ටි
අනේ උබ හුකහන් කැරි හුත්ති තෝ බොල අපේ රටට ගරහන්න තරන් නිිචද තොපේ රටෙ එවුන් පිං කරල හින්ද තමයි දවසට 700 800 මැරෙන්නේ කැරි වෙසි යකෝ අපි නිියම සිිංහලු අපේ ආගම උතුමිි බුද්දා ගම අපේ එවුන්ගේ මයිල් ගහකටවත් හනිියක් වෙන්නැ බොල තො වගේ නිිච එවු මගේ මතුභුමියේ මිහිදන් කරන්න නොලැබෙවා පටිට වෙසි,harassment,අනේ උබ හුකහන් කැරි හුත්ති තෝ බොල අපේ රටට ගරහන්න තරන් නිිචද තොපේ රටෙ එවුන් පිං කරල හින්ද තමයි දවසට 700 800 මැරෙන්නේ කැරි වෙසි යකෝ අපි නිියම සිිංහලු අපේ ආගම උතුමිි බුද්දා ගම අපේ එවුන්ගේ මයිල් ගහකටවත් හනිියක් වෙන්නැ බොල තො වගේ නිිච එවු මගේ මතුභුමියේ මිහිදන් කරන්න නොලැබෙවා පටිට වෙසි
අනේ උබගෙ අප්පට හැම්නියන් වේසිගෙ,harassment,අනේ උබගෙ අප්පට හැම්නියන් වේසිගෙ
"අනේ උබට කොරෝනා හැදෙන්න තියෙන්නෙ,,,වල් බැල්ලි",harassment,"අනේ උබට කොරෝනා හැදෙන්න තියෙන්නෙ,,,වල් බැල්ලි"
අනේ උබෙ අම්මත් එක්ක ආප්ප ගහපන් බැල්ලි...මැරෙන උන් නවත්ත ගන්න බෑ...තොපි එන්නත් එපා. තොපේ කුන මේ පොලවට ඕනෙ නෑ.....හුත්ත සීසර් කරපු තොට වදාපු කැක්කුමක් නෑ......පල්කඩ වේසි,harassment,අනේ උබෙ අම්මත් එක්ක ආප්ප ගහපන් බැල්ලි...මැරෙන උන් නවත්ත ගන්න බෑ...තොපි එන්නත් එපා. තොපේ කුන මේ පොලවට ඕනෙ නෑ.....හුත්ත සීසර් කරපු තොට වදාපු කැක්කුමක් නෑ......පල්කඩ වේසි
අනේ උබෙ හිල තවම පොඩිද,harassment,අනේ උබෙ හිල තවම පොඩිද
අනේ උබේ අම්මට හු.......පන් පට්ට වේසි,harassment,අනේ උබේ අම්මට හු.......පන් පට්ට වේසි
අනේ උබේ කිබිබේ මයිල්ද,harassment,අනේ උබේ කිබිබේ මයිල්ද
"අනේ උඹ කාරයොත් එක්ක හුකා ගනින් ඔහෙට වෙලා,",harassment,"අනේ උඹ කාරයොත් එක්ක හුකා ගනින් ඔහෙට වෙලා,"
අනේ උඹ වගේ වේසියෝ ලංකාවට ගෙන්නෙ නැහැ උඹ ලගක හිටියනම් කබරයන්ට කව්වනවා වේසීයේ,harassment,අනේ උඹ වගේ වේසියෝ ලංකාවට ගෙන්නෙ නැහැ උඹ ලගක හිටියනම් කබරයන්ට කව්වනවා වේසීයේ
"අනේ උඹ හුකාගනින් හුත්තී,උඹේ වැරැද්ද නෙවේ අම්මගේ හුත්තේ කැහිල්ලෙ තරම",harassment,"අනේ උඹ හුකාගනින් හුත්තී,උඹේ වැරැද්ද නෙවේ අම්මගේ හුත්තේ කැහිල්ලෙ තරම"
අනේ උඹෙ අම්මට හුකාපං නංගි,harassment,අනේ උඹෙ අම්මට හුකාපං නංගි
අනේ එන්න ඒප ක්හොමදත් මේහේ ඉන්න බැරි නිසා නේ ගියේ . ඉතාලියට මේ සිදුවන විනාශය යහපත් අතට හැරනු ලෙස පතන අතර. තොට කෝරෝනාම හැදියන්.,harassment,අනේ එන්න ඒප ක්හොමදත් මේහේ ඉන්න බැරි නිසා නේ ගියේ . ඉතාලියට මේ සිදුවන විනාශය යහපත් අතට හැරනු ලෙස පතන අතර. තොට කෝරෝනාම හැදියන්.
